Data,TempAlimAG (C/10),TempRetAG (C/10),VzAlimAG (l/min/10),PresAlimAG (bar/10),PresRetAG (bar/10),VzGradCoil (l/min/10),VzGradPwr (l/min/10),VzComp (l/min/10)
231022190700,57,71,1176,26,32767,32767,32767,32767
231022190711,57,71,1182,26,32767,32767,32767,32767
231022190722,57,71,1182,26,32767,32767,32767,32767
231022190733,57,71,1171,26,32767,32767,32767,32767
231022190745,57,71,1182,26,32767,32767,32767,32767
231022190914,64,75,1180,26,32767,32767,32767,32767
231022190925,66,77,1198,26,32767,32767,32767,32767
231022190937,68,79,1186,26,32767,32767,32767,32767
231022190948,70,81,1181,26,32767,32767,32767,32767
231022190959,72,83,1200,26,32767,32767,32767,32767
231022191010,74,85,1202,26,32767,32767,32767,32767
231022191021,76,87,1184,26,32767,32767,32767,32767
231022191033,77,89,1193,26,32767,32767,32767,32767
231022191044,77,90,1181,26,32767,32767,32767,32767
231022191055,78,91,1197,26,32767,32767,32767,32767
231022191106,78,92,1185,26,32767,32767,32767,32767
231022191117,79,92,1195,26,32767,32767,32767,32767
231022191129,79,93,1203,26,32767,32767,32767,32767
231022191140,79,93,1185,26,32767,32767,32767,32767
231022191151,79,93,1193,26,32767,32767,32767,32767
231022191202,79,93,1195,26,32767,32767,32767,32767
231022191214,79,93,1190,26,32767,32767,32767,32767
231022191225,79,93,1197,26,32767,32767,32767,32767
231022191236,79,93,1194,26,32767,32767,32767,32767
231022191247,78,93,1178,26,32767,32767,32767,32767
231022191417,74,86,1627,35,32767,32767,32767,32767
231022191428,74,86,1648,35,32767,32767,32767,32767
231022191439,74,86,1615,35,32767,32767,32767,32767
231022191450,74,86,1612,35,32767,32767,32767,32767
231022191502,74,85,1616,35,32767,32767,32767,32767
231022191513,73,85,1612,35,32767,32767,32767,32767
231022191524,72,84,1624,35,32767,32767,32767,32767
231022191535,71,83,1611,35,32767,32767,32767,32767
231022191546,70,82,1626,35,32767,32767,32767,32767
231022191558,69,80,1626,35,32767,32767,32767,32767
231022191609,68,80,1630,35,32767,32767,32767,32767
231022191620,68,79,1623,35,32767,32767,32767,32767
231022191631,68,79,1618,35,32767,32767,32767,32767
231022191643,68,79,1616,35,32767,32767,32767,32767
231022191654,69,79,1632,35,32767,32767,32767,32767
231022191705,69,79,1618,35,32767,32767,32767,32767
231022191716,70,80,1623,35,32767,32767,32767,32767
231022191727,71,80,1622,35,32767,32767,32767,32767
231022191739,71,81,1616,35,32767,32767,32767,32767
231022191750,71,81,1636,35,32767,32767,32767,32767
231022191919,71,82,1630,35,32767,32767,32767,32767
231022191931,71,82,1627,34,32767,32767,32767,32767
231022191942,71,82,1624,34,32767,32767,32767,32767
231022191953,71,82,1621,34,32767,32767,32767,32767
231022192004,71,82,1617,34,32767,32767,32767,32767
231022192015,71,82,1636,35,32767,32767,32767,32767
231022192027,71,82,1615,35,32767,32767,32767,32767
231022192038,71,82,1635,35,32767,32767,32767,32767
231022192049,71,82,1633,34,32767,32767,32767,32767
231022192100,71,82,1602,34,32767,32767,32767,32767
231022192111,72,82,1608,35,32767,32767,32767,32767
231022192123,72,82,1630,35,32767,32767,32767,32767
231022192134,72,82,1634,35,32767,32767,32767,32767
231022192145,72,82,1614,34,32767,32767,32767,32767
231022192156,72,82,1630,34,32767,32767,32767,32767
231022192207,72,82,1613,34,32767,32767,32767,32767
231022192219,72,83,1624,34,32767,32767,32767,32767
231022192230,73,83,1635,35,32767,32767,32767,32767
231022192241,75,84,1622,35,32767,32767,32767,32767
231022192252,77,86,1616,35,32767,32767,32767,32767
231022192422,84,96,1626,34,32767,32767,32767,32767
231022192433,80,93,1617,34,32767,32767,32767,32767
231022192444,77,90,1638,35,32767,32767,32767,32767
231022192456,75,87,1625,35,32767,32767,32767,32767
231022192507,75,87,1638,34,32767,32767,32767,32767
231022192518,74,85,1637,35,32767,32767,32767,32767
231022192529,73,84,1624,34,32767,32767,32767,32767
231022192540,72,83,1626,34,32767,32767,32767,32767
231022192552,71,82,1616,34,32767,32767,32767,32767
231022192603,69,81,1438,27,32767,32767,32767,32767
231022192614,67,79,1167,26,32767,32767,32767,32767
231022192625,66,78,1187,26,32767,32767,32767,32767
231022192636,65,78,1174,26,32767,32767,32767,32767
231022192648,63,78,1186,26,32767,32767,32767,32767
231022192659,62,77,1186,26,32767,32767,32767,32767
231022192710,62,76,1188,26,32767,32767,32767,32767
231022192721,61,75,1181,26,32767,32767,32767,32767
231022192732,61,75,1179,26,32767,32767,32767,32767
231022192744,61,74,1180,26,32767,32767,32767,32767
231022192755,61,74,1186,26,32767,32767,32767,32767
231022192925,61,74,1185,26,32767,32767,32767,32767
231022192936,61,74,1196,26,32767,32767,32767,32767
231022192947,61,74,1197,26,32767,32767,32767,32767
231022192958,61,74,1194,26,32767,32767,32767,32767
231022193009,61,74,1197,26,32767,32767,32767,32767
231022193021,61,74,1198,26,32767,32767,32767,32767
231022193032,61,74,1191,26,32767,32767,32767,32767
231022193043,62,74,1200,26,32767,32767,32767,32767
231022193054,64,76,1214,26,32767,32767,32767,32767
231022193105,67,77,1216,26,32767,32767,32767,32767
231022193117,69,79,1193,26,32767,32767,32767,32767
231022193128,71,82,1215,26,32767,32767,32767,32767
