Data,TempEquip1 (C/10),UmdEquip1 (UR/10),DewEquip1 (C/10),TempEquip2 (C/10),UmdEquip2 (UR/10),DewEquip2 (C/10),TempExame1 (C/10),UmdExame1 (UR/10),DewExame1 (C/10),TempExame2 (C/10),UmdExame2 (UR/10),
231023205235,203,499,95,0,0,0,205,511,100,0,0,0
231023205246,203,500,95,0,0,0,205,511,100,0,0,0
231023205257,203,500,95,0,0,0,205,504,97,0,0,0
231023205427,203,513,98,0,0,0,207,503,98,0,0,0
231023205438,203,513,98,0,0,0,207,503,98,0,0,0
231023205449,203,517,101,0,0,0,207,508,101,0,0,0
231023205500,203,518,101,0,0,0,207,506,101,0,0,0
231023205512,203,519,101,0,0,0,207,506,101,0,0,0
231023205523,203,520,101,0,0,0,207,506,101,0,0,0
231023205534,203,521,101,0,0,0,207,506,101,0,0,0
231023205545,203,521,101,0,0,0,208,506,102,0,0,0
231023205556,203,521,101,0,0,0,208,511,102,0,0,0
231023205607,203,522,101,0,0,0,208,510,102,0,0,0
231023205619,203,522,101,0,0,0,208,508,102,0,0,0
231023205630,203,522,101,0,0,0,208,508,102,0,0,0
231023205641,203,521,101,0,0,0,209,505,103,0,0,0
231023205652,203,521,101,0,0,0,209,504,100,0,0,0
231023205703,203,521,101,0,0,0,209,504,100,0,0,0
231023205715,203,520,101,0,0,0,209,501,100,0,0,0
231023205726,203,519,101,0,0,0,209,501,100,0,0,0
231023205737,203,518,101,0,0,0,209,502,100,0,0,0
231023205748,203,515,101,0,0,0,209,501,100,0,0,0
231023205800,203,515,101,0,0,0,209,499,100,0,0,0
231023205929,203,503,95,0,0,0,210,491,98,0,0,0
231023205940,203,503,95,0,0,0,210,492,98,0,0,0
231023205952,203,502,95,0,0,0,210,494,98,0,0,0
231023210003,203,502,95,0,0,0,210,489,98,0,0,0
231023210014,203,502,95,0,0,0,210,490,98,0,0,0
231023210026,203,501,95,0,0,0,210,488,98,0,0,0
231023210037,203,500,95,0,0,0,210,485,98,0,0,0
231023210048,203,500,95,0,0,0,210,482,95,0,0,0
231023210059,203,501,95,0,0,0,210,481,95,0,0,0
231023210110,203,501,95,0,0,0,210,478,95,0,0,0
231023210122,203,502,95,0,0,0,210,483,95,0,0,0
231023210133,203,503,95,0,0,0,211,482,96,0,0,0
231023210144,203,504,95,0,0,0,211,483,96,0,0,0
231023210155,203,506,98,0,0,0,211,480,96,0,0,0
231023210206,203,510,98,0,0,0,211,478,96,0,0,0
231023210218,203,512,98,0,0,0,211,477,96,0,0,0
231023210229,203,514,98,0,0,0,211,476,96,0,0,0
231023210240,203,516,101,0,0,0,211,473,93,0,0,0
231023210251,203,518,101,0,0,0,211,475,96,0,0,0
231023210302,203,520,101,0,0,0,211,475,96,0,0,0
231023210421,201,529,102,0,0,0,211,482,96,0,0,0
231023210432,201,530,102,0,0,0,211,484,96,0,0,0
231023210443,201,531,102,0,0,0,211,484,96,0,0,0
231023210454,201,531,102,0,0,0,211,485,99,0,0,0
231023210506,201,531,102,0,0,0,211,488,99,0,0,0
231023210517,201,531,102,0,0,0,211,491,99,0,0,0
