Data,TempAlimAG (C/10),TempRetAG (C/10),VzAlimAG (l/min/10),PresAlimAG (bar/10),PresRetAG (bar/10),VzGradCoil (l/min/10),VzGradPwr (l/min/10),VzComp (l/min/10)
231124181945,60,96,659,37,32767,32767,32767,32767
231124182115,57,93,658,37,32767,32767,32767,32767
231124182126,57,93,589,21,32767,32767,32767,32767
231124182137,57,93,6,9,32767,32767,32767,32767
231124182148,57,93,660,37,32767,32767,32767,32767
231124182200,57,93,658,37,32767,32767,32767,32767
231124182211,58,93,660,37,32767,32767,32767,32767
231124182222,63,93,660,37,32767,32767,32767,32767
231124182233,67,94,663,37,32767,32767,32767,32767
231124182244,70,96,657,37,32767,32767,32767,32767
231124182256,74,98,666,37,32767,32767,32767,32767
231124182307,78,101,662,37,32767,32767,32767,32767
231124182318,82,104,658,37,32767,32767,32767,32767
231124182329,86,107,656,36,32767,32767,32767,32767
231124182340,89,110,645,35,32767,32767,32767,32767
231124182352,93,112,644,35,32767,32767,32767,32767
231124182403,96,115,642,34,32767,32767,32767,32767
231124182414,99,118,641,34,32767,32767,32767,32767
231124182425,102,121,640,34,32767,32767,32767,32767
231124182437,104,123,640,34,32767,32767,32767,32767
231124182448,106,125,625,34,32767,32767,32767,32767
